2 0.000000 166.667000 428.927790
25 16 
1 -189.094130 0.000000 -189.094130 164.124495 0.001107 28.945105 0.000116 
2 200.960492 0.000000 -189.094130 164.131458 0.000832 28.882497 0.000164 
3 200.960492 0.000000 190.088521 164.165200 -0.002157 28.823659 -0.000113 
4 -189.094130 0.000000 190.088521 164.148429 -0.001549 28.944203 -0.000165 
5 5.933181 0.000000 0.497196 161.991784 42.480398 -7.082255 -0.011455 
6 -189.094130 0.000000 0.497196 164.137163 -0.000452 28.954936 -0.000054 
7 5.933181 0.000000 -189.094130 164.095569 0.004582 28.907626 0.000536 
8 200.960492 0.000000 0.497196 164.489921 -0.028894 26.901300 -0.000098 
9 5.933181 0.000000 190.088521 164.187595 -0.005244 28.896830 -0.000529 
10 -91.580475 0.000000 -94.298467 164.092654 0.004618 28.956022 0.000469 
11 -189.094130 0.000000 -94.298467 164.126549 0.000807 28.951027 0.000079 
12 -91.580475 0.000000 -189.094130 164.109250 0.002863 28.938670 0.000309 
13 5.933181 0.000000 -94.298467 163.978633 0.018234 28.806152 0.002128 
14 -91.580475 0.000000 0.497196 164.143345 -0.001950 28.995893 -0.000213 
15 103.446837 0.000000 -94.298467 164.120944 0.003041 28.707762 0.000650 
16 103.446837 0.000000 -189.094130 164.114691 0.002645 28.881121 0.000365 
17 200.960492 0.000000 -94.298467 164.152251 -0.000592 28.764656 0.000163 
18 103.446837 0.000000 0.497196 165.104058 -0.023003 23.332627 -0.000931 
19 103.446837 0.000000 95.292858 164.251549 -0.008112 28.490546 -0.000446 
20 5.933181 0.000000 95.292858 164.341411 -0.020172 28.766971 -0.002079 
21 200.960492 0.000000 95.292858 164.265289 -0.007236 28.237783 -0.000092 
22 103.446837 0.000000 190.088521 164.176330 -0.003562 28.850906 -0.000301 
23 -91.580475 0.000000 95.292858 164.188833 -0.006377 28.952615 -0.000660 
24 -189.094130 0.000000 95.292858 164.147304 -0.001528 28.950378 -0.000165 
25 -91.580475 0.000000 190.088521 164.166964 -0.003507 28.935742 -0.000366 
1 1 12 10 11 
2 12 7 13 10 
3 10 13 5 14 
4 11 10 14 6 
5 7 16 15 13 
6 16 2 17 15 
7 15 17 8 18 
8 13 15 18 5 
9 5 18 19 20 
10 18 8 21 19 
11 19 21 3 22 
12 20 19 22 9 
13 6 14 23 24 
14 14 5 20 23 
15 23 20 9 25 
16 24 23 25 4 
